County,TreeCount,Latitude,Longitude
Tottenville,89028,40.5083,-74.2355
Flushing,25320,40.7675,-73.8331
Jamaica/St. Albans,24700,40.7027,-73.789
Bensonhurst,16994,40.6139,-73.9922
Bushwick,16005,40.6958,-73.9171
Bayside,15064,40.7586,-73.7654
Fresh Meadows/Briarwood,14397,40.7335,-73.7801
Astoria,12787,40.7644,-73.9235
Crown Heights South,12439,40.6694,-73.9422
Crown Heights North,11762,40.6694,-73.9422
Unionport/Soundview,11585,40.8273,-73.8501
The Rockaways,11438,40.5832,-73.8154
East Flatbush,11374,40.6482,-73.93
Williamsbridge,11121,40.8788,-73.8528
Canarsie,10838,40.6402,-73.9061
Sheepshead Bay,10538,40.5954,-73.9458
Ridgewood/Glendale,10262,40.7044,-73.9018
Rego Park/Forest Hills,9651,40.7181,-73.8448
Queens Village,9488,40.7157,-73.7419
Pelham Parkway,9459,40.8553,-73.864
Upper West Side,9116,40.787,-73.9754
Flatbush/Midwood,8881,40.6204,-73.96
East New York,8849,40.6591,-73.8759
Borough Park,8823,40.635,-73.9921
Upper East Side,8336,40.7736,-73.9566
Greenwich Village,7516,40.7336,-74.0027
East Tremont,6996,40.8454,-73.891
Morrisania,6664,40.8311,-73.9059
South Beach,6635,40.5904,-74.0668
Coney Island,6471,40.5755,-73.9707
Sunset Park,6447,40.6527,-74.0093
Central Harlem,6388,40.8089,-73.9482
Washington Heights,6147,40.8417,-73.9394
Bedford Park,6031,40.8701,-73.8857
Bay Ridge,5936,40.6264,-74.0299
St. George,5779,40.6427,-74.0799
Sunnyside/Woodside,5409,40.7433,-73.9196
Riverdale,5357,40.8996,-73.9088
Concourse/Highbridge,5293,40.837,-73.929
Throgs Neck,5025,40.8184,-73.8213
Howard Beach,4381,40.6571,-73.843
Mott Haven,4218,40.8091,-73.9229
Midtown Business District,4171,40.7549,-73.984
Elmhurst/Corona,4124,40.735,-73.865
East Harlem,4111,40.7957,-73.9389
Brownsville,4007,40.6652,-73.9125
Jackson Heights,3155,40.7557,-73.8831
Chelsea/Clinton,2883,40.7465,-74.0014
University Heights,2874,40.8575,-73.9097
Manhattanville,2845,40.8169,-73.9558
Woodhaven,2715,40.6901,-73.8566
Bedford Stuyvesant,2524,40.6872,-73.9418
Hunts Point,2462,40.8094,-73.8803
Battery Park/Tribeca,2341,40.7035,-74.0166
Lower East Side,2158,40.715,-73.9843