Riverdale,69235.14898
Williamsbridge,53255.73583
Throgs Neck,57056.51172
Pelham Parkway,51104.05692
Morrisania,26979.00217
East Tremont,26979.00217
Bedford Park,35830.27778
University Heights,27128.20618
Concourse/Highbridge,29310.17463
Unionport/Soundview,41268.9323
Mott Haven,27381.74082
Hunts Point,27381.74082
Washington Heights,50828.08559
Manhattanville,54614.27762
Central Harlem,51652.63407
East Harlem,33721.22858
Upper East Side,114935.32825
Upper West Side,113349.05402
Chelsea/Clinton,114736.76352
Midtown Business District,114736.76352
Murray Hill/Stuyvesant,119870.279
Lower East Side,47417.70816
Battery Park/Tribeca,137034.34957
Greenwich Village,137034.34957
Tottenville,91101.95052
South Beach,82874.41499
St. George,62692.60914
Williamsburg/Greenpoint,75282.95973
Bushwick,48455.40524
Bedford Stuyvesant,44361.8305
Fort Greene/Brooklyn Hts,97209.21851
Park Slope,125050.91154
Crown Heights North,51286.91597
Brownsville,30357.96822
East New York,39375.27536
Canarsie,77512.04523
East Flatbush,56454.0865
Crown Heights South,50709.17111
Sunset Park,50731.6078
Bay Ridge,72221.47289
Borough Park,48431.84671
Flatbush/Midwood,55706.9446
Sheepshead Bay,61037.90299
Bensonhurst,56124.2671
Coney Island,45189.74449
Astoria,64705.18055
Jackson Heights,60732.76396
Flushing,56879.26184
Bayside,88873.98685
Queens Village,90920.2133
Fresh Meadows/Briarwood,69962.09785
Elmhurst/Corona,49063.43964
Rego Park/Forest Hills,79573.97737
Sunnyside/Woodside,67543.42229
Ridgewood/Glendale,69883.56942
Woodhaven,67837.34297
Jamaica/St. Albans,65419.78924
Howard Beach,75510.69217
The Rockaways,58710.09603
Bronx,39461.65663
Brooklyn,57371.74726
Manhattan,84782.65578
Queens,67783.49491
Staten Island,80348.0433
New York City,62544.52696